largo de la clave,cantidad de palabras,semejanza entre claves
5,100,0.8
5,200,0.8
5,300,0.8
5,400,1.0
5,500,1.0
5,600,1.0
5,700,1.0
5,800,1.0
5,900,1.0
5,1000,1.0
5,1100,1.0
5,1200,1.0
5,1300,1.0
5,1400,1.0
5,1500,1.0
5,1600,1.0
5,1700,1.0
5,1800,1.0
5,1900,1.0
5,2000,1.0
5,2100,1.0
5,2200,1.0
5,2300,1.0
5,2400,1.0
5,2500,1.0
5,2600,1.0
5,2700,1.0
5,2800,1.0
5,2900,1.0
5,3000,1.0
5,3100,1.0
5,3200,1.0
5,3300,1.0
5,3400,1.0
5,3500,1.0
5,3600,1.0
5,3700,1.0
5,3800,1.0
5,3900,1.0
5,4000,1.0
5,4100,1.0
5,4200,1.0
5,4300,1.0
5,4400,1.0
5,4500,1.0
5,4600,1.0
5,4700,1.0
5,4800,1.0
5,4900,1.0
5,5000,1.0
5,5100,1.0
5,5200,1.0
5,5300,1.0
5,5400,1.0
5,5500,1.0
5,5600,1.0
5,5700,1.0
5,5800,1.0
5,5900,1.0
5,6000,1.0
5,6100,1.0
5,6200,1.0
5,6300,1.0
5,6400,1.0
5,6500,1.0
5,6600,1.0
5,6700,1.0
5,6800,1.0
5,6900,1.0
5,7000,1.0
5,7100,1.0
5,7200,1.0
5,7300,1.0
5,7400,1.0
5,7500,1.0
5,7600,1.0
5,7700,1.0
5,7800,1.0
5,7900,1.0
5,8000,1.0
5,8100,1.0
5,8200,1.0
5,8300,1.0
5,8400,1.0
5,8500,1.0
5,8600,1.0
5,8700,1.0
5,8800,1.0
5,8900,1.0
5,9000,1.0
5,9100,1.0
5,9200,1.0
5,9300,1.0
5,9400,1.0
5,9500,1.0
5,9600,1.0
5,9700,1.0
5,9800,1.0
5,9900,1.0
10,100,0.7
10,200,0.8
10,300,1.0
10,400,0.9
10,500,0.9
10,600,1.0
10,700,0.9
10,800,1.0
10,900,1.0
10,1000,1.0
10,1100,1.0
10,1200,1.0
10,1300,1.0
10,1400,1.0
